activity_name,kudroli gokarnath temple,panambur beach,ullal beach,manglore beach,bejai museum,sultan battery,mangaladevi temple,someshwara beach,surathkal beach,st. aloysius chapel,new manglore port
kudroli gokarnath temple,0,19,24,26,7,7,12,26,24,6,13
panambur beach,19,0,34,36,20,21,28,36,12,23,10
ullal beach,24,34,0,10,22,27,10,9,37,22,26
manglore beach,26,36,10,0,21,27,16,2,37,21,26
bejai museum,7,20,22,21,0,10,11,22,21,6,10
sultan battery,7,21,27,27,10,0,17,29,26,11,14
mangaladevi temple,12,28,10,16,11,17,0,19,32,8,21
someshwara beach,26,36,9,2,22,29,19,0,39,23,28
surathkal beach,24,12,37,37,21,26,32,39,0,27,16
st. aloysius chapel,6,23,22,21,6,11,23,23,27,0,14
new manglore port,13,10,26,26,10,14,28,28,16,14,0
